proxy,depth,upper_age,lower_age,age,variable,count
llaviucu_diatoms_counts,5,-46,-42,NA,Achnanthdium.pyrenaicum,1
llaviucu_diatoms_counts,6,-42,-38,NA,Achnanthdium.pyrenaicum,1
llaviucu_diatoms_counts,7,-38,-35,NA,Achnanthdium.pyrenaicum,3
llaviucu_diatoms_counts,11,-25,-21,NA,Achnanthdium.pyrenaicum,1
llaviucu_diatoms_counts,13,-15,-13,NA,Achnanthdium.pyrenaicum,1
llaviucu_diatoms_counts,5,-46,-42,NA,Achnanthes.cf.exilissima,3
llaviucu_diatoms_counts,6,-42,-38,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,7,-38,-35,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,10,-28,-25,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,22,35,45,NA,Achnanthes.cf.exilissima,7
llaviucu_diatoms_counts,23,45,46,NA,Achnanthes.cf.exilissima,17
llaviucu_diatoms_counts,24,46,54,NA,Achnanthes.cf.exilissima,18
llaviucu_diatoms_counts,25,54,63,NA,Achnanthes.cf.exilissima,11
llaviucu_diatoms_counts,26,63,71,NA,Achnanthes.cf.exilissima,12
llaviucu_diatoms_counts,27,71,78,NA,Achnanthes.cf.exilissima,5
llaviucu_diatoms_counts,29,85,88,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,59,445,456,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,85,1505,1550,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,88,1636,1655,NA,Achnanthes.cf.exilissima,1
llaviucu_diatoms_counts,91,1703,1742,NA,Achnanthidium.exiguum,1
llaviucu_diatoms_counts,165,3064,3075,NA,Achnanthidium.exiguum,1
llaviucu_diatoms_counts,3,-55,-51,NA,Achnanthes.microcephala,1
llaviucu_diatoms_counts,5,-46,-42,NA,Achnanthes.microcephala,2
llaviucu_diatoms_counts,10,-28,-25,NA,Achnanthes.microcephala,1
llaviucu_diatoms_counts,3,-55,-51,NA,Psammothidium.sacculus,4
llaviucu_diatoms_counts,4,-51,-46,NA,Psammothidium.sacculus,3
llaviucu_diatoms_counts,5,-46,-42,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,6,-42,-38,NA,Psammothidium.sacculus,2
llaviucu_diatoms_counts,8,-35,-31,NA,Psammothidium.sacculus,2
llaviucu_diatoms_counts,9,-31,-28,NA,Psammothidium.sacculus,2
llaviucu_diatoms_counts,14,-13,-8,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,18,9,11,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,20,16,24,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,33,104,110,NA,Psammothidium.sacculus,3
llaviucu_diatoms_counts,57,385,424,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,60,456,501,NA,Psammothidium.sacculus,1
llaviucu_diatoms_counts,2,-59,-55,NA,Achnanthes.sp.1.LLAVIUCU,1
llaviucu_diatoms_counts,3,-55,-51,NA,Achnanthes.sp.1.LLAVIUCU,3
llaviucu_diatoms_counts,1,-63,-59,NA,Achnanthidium.minutissimum,95
llaviucu_diatoms_counts,2,-59,-55,NA,Achnanthidium.minutissimum,67
llaviucu_diatoms_counts,3,-55,-51,NA,Achnanthidium.minutissimum,109
llaviucu_diatoms_counts,4,-51,-46,NA,Achnanthidium.minutissimum,62
llaviucu_diatoms_counts,5,-46,-42,NA,Achnanthidium.minutissimum,83
llaviucu_diatoms_counts,6,-42,-38,NA,Achnanthidium.minutissimum,64
llaviucu_diatoms_counts,7,-38,-35,NA,Achnanthidium.minutissimum,108
llaviucu_diatoms_counts,8,-35,-31,NA,Achnanthidium.minutissimum,138
llaviucu_diatoms_counts,9,-31,-28,NA,Achnanthidium.minutissimum,130
llaviucu_diatoms_counts,10,-28,-25,NA,Achnanthidium.minutissimum,150
llaviucu_diatoms_counts,11,-25,-21,NA,Achnanthidium.minutissimum,164
llaviucu_diatoms_counts,12,-21,-15,NA,Achnanthidium.minutissimum,168
llaviucu_diatoms_counts,13,-15,-13,NA,Achnanthidium.minutissimum,139
llaviucu_diatoms_counts,14,-13,-8,NA,Achnanthidium.minutissimum,172
llaviucu_diatoms_counts,15,-8,-6,NA,Achnanthidium.minutissimum,129
llaviucu_diatoms_counts,16,-6,3,NA,Achnanthidium.minutissimum,125
llaviucu_diatoms_counts,17,3,9,NA,Achnanthidium.minutissimum,131
llaviucu_diatoms_counts,18,9,11,NA,Achnanthidium.minutissimum,141
llaviucu_diatoms_counts,19,11,16,NA,Achnanthidium.minutissimum,187
llaviucu_diatoms_counts,20,16,24,NA,Achnanthidium.minutissimum,151
llaviucu_diatoms_counts,21,24,35,NA,Achnanthidium.minutissimum,132
llaviucu_diatoms_counts,22,35,45,NA,Achnanthidium.minutissimum,124
llaviucu_diatoms_counts,23,45,46,NA,Achnanthidium.minutissimum,126
llaviucu_diatoms_counts,24,46,54,NA,Achnanthidium.minutissimum,110
llaviucu_diatoms_counts,25,54,63,NA,Achnanthidium.minutissimum,128
llaviucu_diatoms_counts,26,63,71,NA,Achnanthidium.minutissimum,152
llaviucu_diatoms_counts,27,71,78,NA,Achnanthidium.minutissimum,132
llaviucu_diatoms_counts,28,78,85,NA,Achnanthidium.minutissimum,108
llaviucu_diatoms_counts,29,85,88,NA,Achnanthidium.minutissimum,109
llaviucu_diatoms_counts,30,88,93,NA,Achnanthidium.minutissimum,203
llaviucu_diatoms_counts,31,93,99,NA,Achnanthidium.minutissimum,282
llaviucu_diatoms_counts,33,104,110,NA,Achnanthidium.minutissimum,220
llaviucu_diatoms_counts,35,114,115,NA,Achnanthidium.minutissimum,243
llaviucu_diatoms_counts,37,115,121,NA,Achnanthidium.minutissimum,244
llaviucu_diatoms_counts,38,121,123,NA,Achnanthidium.minutissimum,209
llaviucu_diatoms_counts,40,126,127,NA,Achnanthidium.minutissimum,174
llaviucu_diatoms_counts,41,127,135,NA,Achnanthidium.minutissimum,244
llaviucu_diatoms_counts,43,144,154,NA,Achnanthidium.minutissimum,194
llaviucu_diatoms_counts,45,166,180,NA,Achnanthidium.minutissimum,165
llaviucu_diatoms_counts,47,180,184,NA,Achnanthidium.minutissimum,188
llaviucu_diatoms_counts,49,200,218,NA,Achnanthidium.minutissimum,157
llaviucu_diatoms_counts,50,218,239,NA,Achnanthidium.minutissimum,145
llaviucu_diatoms_counts,52,251,262,NA,Achnanthidium.minutissimum,219
llaviucu_diatoms_counts,53,262,288,NA,Achnanthidium.minutissimum,139
llaviucu_diatoms_counts,55,317,349,NA,Achnanthidium.minutissimum,238
llaviucu_diatoms_counts,57,385,424,NA,Achnanthidium.minutissimum,202
llaviucu_diatoms_counts,59,445,456,NA,Achnanthidium.minutissimum,188
llaviucu_diatoms_counts,60,456,501,NA,Achnanthidium.minutissimum,200
llaviucu_diatoms_counts,61,501,519,NA,Achnanthidium.minutissimum,172
llaviucu_diatoms_counts,63,540,587,NA,Achnanthidium.minutissimum,192
