"","Sample ID","Sitename","Country","Sample","Material","C14_date","Error"
"1","HAM-226","Cochasqui","Ecuador",NA,"bone",0,0
"2","Hv-1273","Cochasqui","Ecuador","558","charcoal",0,0
"3","N-3875","Huapula","Ecuador","II-5","unknown",0,0
"4","SI-3305","Ayalan, Hacienda","Ecuador",NA,"charcoal",0,0
"5","SI-3306","Ayalan, Hacienda","Ecuador",NA,"charcoal",0,0
"6","SI-3531","Ayalan, Hacienda","Ecuador",NA,"bone",0,0
"7","UM-421","Arajuno","Ecuador",NA,"bone",0,0
"8","UM-423","Arajuno","Ecuador",NA,"bone",0,0
"9","Hv-1287","Cochasqui","Ecuador","714","charcoal",185,430
"10","Hv-1286","Cochasqui","Ecuador","661","charcoal",190,130
"11","SI-3530","Ayalan, Hacienda","Ecuador",NA,"bone",220,120
"12","Hv-1288","Cochasqui","Ecuador","738a","charcoal",255,70
"13","PITT-414","La Mina","Ecuador",NA,"unknown",305,60
"14","Hv-1290","Cochasqui","Ecuador","778","charcoal",370,60
"15","Hv-1282","Cochasqui","Ecuador","517","charcoal",390,70
"16","GX#30044","Santa Ana - La Florida","Ecuador",NA,NA,400,70
"17","Hv-1289","Cochasqui","Ecuador","738b","charcoal",405,90
"18","Hv-1285","Cochasqui","Ecuador","656","charcoal",425,30
"19","M-1425","Valle de los Quijos","Ecuador","Sitio Minda","charcoal",440,60
"20","Hv-1292","Cochasqui","Ecuador","779","charcoal",440,70
"21","Hv-1284","Cochasqui","Ecuador","649","charcoal",465,70
"22","Hv-1283","Cochasqui","Ecuador","573","charcoal",475,70
"23","PITT-415","La Mina","Ecuador",NA,"unknown",515,80
"24","Hv-1271","Cochasqui","Ecuador","540","charcoal",535,115
"25","AA-58002","La Cruz Zumba","Ecuador",NA,NA,539,60
"26","M-736","Cerro de Hojas","Ecuador",NA,"charcoal",560,85
"27","Beta-20642","C55","Ecuador",NA,NA,560,100
"28","Hv-1291","Cochasqui","Ecuador","751","charcoal",610,30
"29","AA-58000","Los Lotes","Ecuador",NA,NA,614,240
"30","Beta-171896","Tacana","Ecuador",NA,NA,620,140
"31","M-1426","Valle de los Quijos","Ecuador","Sitio Borja","charcoal",640,130
"32","Hv-1272","Cochasqui","Ecuador","555","charcoal",655,110
"33","Hv-15238","Putushio","Ecuador","see:ARCCOMMENT","bone",660,60
"34","Hv-1275","Cochasqui","Ecuador","562","charcoal",690,120
"35","UM-422","Arajuno","Ecuador",NA,"bone",690,70
"36","Hv-1281","Cochasqui","Ecuador","789","charcoal",700,200
"37","Hv-1279","Cochasqui","Ecuador","727","charcoal",705,50
"38","Hv-1276","Cochasqui","Ecuador","621","charcoal",720,75
"39","Beta-100539","Huapula","Ecuador",NA,"carbon",770,200
"40","P-269","Nueva Armenia","Ecuador",NA,"charcoal",771,200
"41","Hv-14705","Putushio","Ecuador","(8)F2029/1a-475Cor.B","charcoal",775,170
"42","P-347","Nueva Armenia","Ecuador",NA,"charcoal",782,80
"43","SI-3308","Ayalan, Hacienda","Ecuador",NA,"charcoal",795,75
"44","Hv-14703","Putushio","Ecuador","(6) F2005/3a-4a-490","charcoal",820,115
"45","GX-12475","Nambillo","Ecuador","R5","unknown",820,75
"46","SI-3309","Ayalan, Hacienda","Ecuador",NA,"charcoal",840,60
"47","Beta-106087","Huapula","Ecuador",NA,"carbon",850,195
"48","Hv-1280","Cochasqui","Ecuador","742","charcoal",860,80
"49","Hv-1277","Cochasqui","Ecuador","719","charcoal",890,50
"50","HAM-228","Cochasqui","Ecuador",NA,"wood",890,60
"51","GX-12476","Nambillo","Ecuador","R6","unknown",895,165
"52","GX-12478","Nambillo","Ecuador","R4/R13","unknown",905,80
"53","HAM-230","Cochasqui","Ecuador",NA,"charcoal",910,65
"54","Hv-1269","Cochasqui","Ecuador","114","wood",920,120
"55","AA-58003","Paquisha","Ecuador",NA,NA,929,60
"56","Hv-1274","Cochasqui","Ecuador","561","charcoal",930,60
"57","Beta-100308","Huapula","Ecuador",NA,"carbon",940,70
"58","Hv-1271","Cochasqui","Ecuador","40","charcoal",955,115
"59","SI-3534","Ayalan, Hacienda","Ecuador",NA,"bone",965,75
"60","Hv-1278","Cochasqui","Ecuador","721","charcoal",975,60
"61","HAM-229","Cochasqui","Ecuador",NA,"wood",980,135
"62","GX-12477","Nambillo","Ecuador","R37","unknown",995,50
"63","GX-12474","Nambillo","Ecuador","R28","unknown",1015,70
"64","HAM-227","Cochasqui","Ecuador",NA,"wood",1020,85
"65","UtC-3034","Cumbaya","Ecuador","MC-004","charcoal",1030,70
"66","Beta-210218","Quimi","Ecuador",NA,NA,1040,160
"67","Beta-100538","Huapula","Ecuador",NA,"carbon",1070,70
"68","Beta-168289","Nankais","Ecuador",NA,NA,1070,120
"69","Beta-90305","Huapula","Ecuador",NA,"carbon",1070,60
"70","PITT-417","La Mina","Ecuador",NA,"unknown",1120,85
"71","UtC-3036","Cumbaya","Ecuador","MC-006","charcoal",1140,80
"72","SI-3532","Ayalan, Hacienda","Ecuador",NA,"bone",1150,120
"73","UtC-2755","Cumbaya","Ecuador","MC-005","charcoal",1160,70
"74","Beta-100537","Huapula","Ecuador",NA,"carbon",1210,120
"75","SI-3529","Ayalan, Hacienda","Ecuador",NA,"bone",1220,70
"76","UtC-2752","Cumbaya","Ecuador","MC-003","charcoal",1220,135
"77","GX-16561","Loma Tello","Ecuador","LT-5","charcoal",1225,130
"78","UtC-1540","Cumbaya","Ecuador","MC-002","charcoal",1230,80
"79","PITT-410","El Tape","Ecuador",NA,"unknown",1260,80
"80","GX-16562","Loma Tello","Ecuador","LT-10","charcoal",1280,60
"81","GX-16564","San Francisco de Cobos","Ecuador","SFC-5","charcoal",1385,80
"82","Hv-15239","Putushio","Ecuador","F1450/X-7,8v,w","bone",1390,60
"83","UtC-1539","Cumbaya","Ecuador","MC-001","plant fragments",1440,285
"84","Beta-90306","Huapula","Ecuador",NA,"carbon",1510,80
"85","Beta-89269","Huapula","Ecuador",NA,"carbon",1650,40
"86","UM-424","Arajuno","Ecuador",NA,"bone",1650,75
"87","GX-12467","Nambillo","Ecuador","R39","unknown",1665,70
"88","Hv-15240","Putushio","Ecuador","F1351/V-VIII-6v,w","bone",1665,260
"89","GX-12479","Nambillo","Ecuador","R33","unknown",1665,485
"90","M-735","La Tolita","Ecuador",NA,"charcoal",1690,130
"91","GX-10630","Salango","Ecuador",NA,"human bone",1700,60
"92","GX-13671","Salango","Ecuador",NA,"human bone",1725,80
"93","N-3876","Huapula","Ecuador","II-6","unknown",1730,80
"94","GX-12466","Nambillo","Ecuador","R36","unknown",1775,80
"95","Hv-14702","Putushio","Ecuador","(5) F1166/V-17c","charcoal",1780,120
"96","N-3874","Huapula","Ecuador","II-4","unknown",1780,65
"97","Beta-90630","Huapula","Ecuador",NA,"carbon",1790,80
"98","GX-13024","Salango","Ecuador",NA,"charcoal",1820,110
"99","Hv-2976","Palmar","Ecuador",NA,"unknown",1830,165
"100","Beta-116472","Huapula","Ecuador",NA,"carbon",1840,460
"101","GX-10634","Salango","Ecuador",NA,"human bone",1855,85
"102","N-4490","Huapula","Ecuador","MS-Hp Tola 1.70 m","unknown",1870,340
"103","Hv-1294","Palmar","Ecuador",NA,"unknown",1875,8
"104","Hv-14708","Putushio","Ecuador","(11)F1273/XII-20b","charcoal",1880,85
"105","N-4489","Huapula","Ecuador","MS-Hp C.D.9 80-100","unknown",1930,60
"106","HAM-225","Cochasqui","Ecuador",NA,"bone",1930,85
"107","N-3872","Huapula","Ecuador","II-2","unknown",1940,140
"108","GX-12377","La Tolita","Ecuador","8TPESE-365-86","charcoal",1950,170
"109","UtC-2753","Cumbaya","Ecuador","MC-002","charcoal",1970,130
"110","GX-10635","Salango","Ecuador",NA,"human bone",1980,130
"111","Beta-116471","Huapula","Ecuador",NA,"carbon",1990,70
"112","Beta-90307","Huapula","Ecuador",NA,"carbon",1990,220
"113","N-4492","Huapula","Ecuador","MS-Hp Tola 2 m","unknown",1990,165
"114","UtC-2754","Cumbaya","Ecuador","MC-004","charcoal",2000,85
"115","ISGS-1187","Nueva Era","Ecuador",NA,NA,2010,480
"116","GX-12378","La Tolita","Ecuador","9TPESE-365-85","charcoal",2010,150
"117","M-1315","Esteros","Ecuador",NA,"charcoal",2050,100
"118","N-4488","Los Rios (km 58)","Ecuador","LR.58.M. 70-80","unknown",2070,140
"119","N-3871","Huapula","Ecuador","II-1","unknown",2070,150
"120","GX-12465","Nambillo","Ecuador","R26","unknown",2095,150
"121","M-1319","Esteros","Ecuador",NA,"charcoal",2110,190
"122","Beta-100309","Huapula","Ecuador",NA,"carbon",2110,175
"123","M-1316","Esteros","Ecuador",NA,"charcoal",2120,90
