"","depth","upper_age","lower_age","Lycopodium...4","Lycopodium...5","Monolete psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Gleicheniaceae","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore 47","Athyriaceae","Blechnum","Davalliaceae","Sinopteridaceae","Pleuromanes","Arcella discoides","Lophosoria","Hypolepis","Spore 32","Pityrogramma","Histrichosphaeridae","Jamesonia","Spore 54","Sporormiella","Isoetes","Cyperaceae","Myriophyllum","Alismataceae","Acalypha","Alchornea","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Asteraceae 1","Caryophyllaceae","Celtis","Cecropia","Clethra","Ericaceae","Hedyosmum","Melast/Combret","Meliaceae/Bruniaceae","Morac/Urtica","Myrica/Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Trema","Weinmannia","Valeriana","Vallea","Zea mays","Apiaceae","Eryngium (Apiaceae)","Psyllocarpus/Micrandra?","Fabaceae © cf Cercidium","Licania","Virola","Aechmea","cf Panopsis (Proteaceae)","Rubiaceae (cf Uncaria)","cf Sapium","cf Matayba (Sapind)","Rubiaceae (cf Hoffmannia)","Aralia","Juglandaceae","Mutisia (Astera)","Tricolp. 8 (Poma)","Pera (Euphorb)","Gunnera","Borreria (Rub)","Gonocalyx (Ericaceae)","Asteraceae (lig)","Pagamea (Rub)","Paullinia (Sapind)","Malanea (Rub)","Loranthaceae","Dodonaea (Sapind.)","Brassicaceae","cf Rubiaceae","Lamiaceae","cf Rhamnaceae","Fagara (Rubiaceae)","Alseis","Alchornea Type 2","cf Sapindaceae","Alternanthera","Rumex","Portulaceae","Polygalaceae","Fabaceae (P) rectangular/ Dalea","cf Sabicea (Rubiaceae)","Bocconia","Dendropanax (Araliaceae)","Carapa (Meliaceae)","Sapotaceae","Fab.syncolpate","Tricolp. 10 (Poma)","Begoniaceae","Apocynaceae","Bignoniaceae","Tovomotopsis","Piper","Uncaria 2","Fabaceae (M)","Inaperturate cf Bromel/Aracec","Ephedra","Myrtaceae","Schefflera (Araliaceae)","cf. Pandanaceae Freycinetia","Mimosa","Arecaceae","Bromeliaceae (Puya)","Philodendron","Anthurum","Cupressaceae","Nymphaeaceae","Boraginaceae","Bursera?","Podocarpus fininho","Froesiodendron","Ulmaceae","Saccate 1","Nyctaginaceae fig 3 plate 127","Poaceae >80 cm","Unknown"
"1","0",-59,-53,136,0,24,2,2,2,6,1,1,1,0,0,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,8,16,10,0,0,1,1,26,1,0,0,12,1,1,0,1,0,20,18,2,15,8,6,0,121,14,8,0,6,0,0,0,2,0,0,3,0,0,1,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2.5",-53,-46,237,1,18,3,4,2,2,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,13,12,0,0,1,1,21,0,0,0,11,0,0,0,2,0,21,9,1,15,3,10,1,145,5,7,1,5,2,0,0,2,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","5",-46,212,168,0,22,5,1,2,6,2,0,1,2,0,0,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,6,23,10,0,0,1,2,23,1,0,0,9,1,0,1,6,0,28,24,4,39,3,0,1,111,4,6,0,6,0,0,4,1,3,0,1,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","7.5",212,469,219,0,35,4,1,0,2,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,18,8,0,0,1,5,32,2,0,0,16,1,0,1,1,0,18,21,0,15,0,7,1,115,3,9,4,11,0,0,2,4,4,0,1,0,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","10",469,535,175,1,18,4,1,0,2,3,1,2,1,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,21,18,0,0,6,2,77,0,0,0,10,1,1,2,4,0,15,12,2,16,4,2,4,87,2,4,0,10,0,0,4,2,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","12.5",535,600,246,1,30,2,1,5,5,3,3,7,1,0,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,6,7,0,0,1,3,69,1,0,0,7,1,1,1,2,1,17,9,0,10,0,6,1,124,7,2,2,9,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","15",600,670,299,0,32,1,0,3,2,3,0,1,1,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,10,13,9,0,0,3,1,55,0,0,0,9,0,1,3,1,2,10,7,0,17,1,1,0,145,4,6,2,7,2,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","17.5",670,740,136,5,31,6,2,2,8,4,1,4,2,1,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,8,5,0,0,6,4,39,0,0,0,12,0,1,1,2,0,11,8,2,30,6,3,0,139,4,4,0,6,3,0,3,1,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","20",740,810,486,0,42,6,2,12,8,4,1,8,2,2,3,3,0,0,1,1,3,0,0,1,0,2,0,0,0,0,0,0,15,5,15,0,0,6,0,23,1,0,0,11,1,1,1,4,2,9,7,0,48,0,1,2,129,3,2,4,7,4,0,2,2,2,0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","22.5",810,881,289,0,17,3,1,2,2,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,8,0,0,2,2,49,0,1,0,12,0,1,1,11,0,7,10,0,14,7,5,3,125,5,9,4,9,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
