"","depth","Si","Ti","Fe","Sr","K","Ca","Mn"
"1",1,"107","1042","69247","903","791","1645","1370"
"2",2,"61","993","59155","809","538","1321","1180"
"3",3,"57","912","53313","736","522","1279","1116"
"4",4,"87","995","60958","839","651","1394","1168"
"5",5,"54","814","56918","636","587","1358","1030"
"6",6,"84","1087","69586","887","802","1516","1022"
"7",7,"100","1281","72500","847","735","1669","1382"
"8",8,"93","1197","69687","806","819","1799","1249"
"9",9,"135","1075","71816","837","754","1535","1042"
"10",10,"129","1572","85380","840","1125","1735","1293"
"11",11,"98","1165","61731","917","659","1606","980"
"12",12,"77","1201","63424","1128","621","1493","977"
"13",13,"69","991","56187","731","480","1505","1030"
"14",14,"95","1202","71370","999","641","1818","1134"
"15",15,"72","809","55046","1023","458","1822","1071"
"16",16,"70","912","55623","887","477","1705","954"
"17",17,"83","1026","65181","867","519","1528","931"
"18",18,"0","490","37321","790","258","987","703"
"19",19,"98","1112","70371","1009","843","1652","915"
"20",20,"47","804","52618","825","393","1600","768"
"21",21,"33","815","50314","832","340","1524","844"
"22",22,"94","760","52871","916","392","1723","810"
"23",23,"116","1305","72701","1273","641","1929","815"
"24",24,"38","751","53777","1340","317","1446","1018"
"25",25,"94","977","61692","1043","417","1653","955"
"26",26,"124","1035","61448","1224","539","1804","926"
"27",27,"21","866","52664","1000","331","1312","842"
"28",28,"86","923","56521","671","417","1619","1063"
"29",29,"55","972","59065","1141","503","1662","924"
"30",30,"100","1109","60423","946","433","1721","911"
"31",31,"26","800","55147","1045","366","1404","884"
"32",33,"92","1341","71203","1079","607","1809","1119"
"33",35,"129","1751","91830","1072","986","2137","1297"
"34",37,"88","1098","60866","1096","504","1535","978"
"35",38,"65","651","38976","916","287","1020","554"
"36",40,"81","1192","73498","1285","734","1741","952"
"37",41,"66","704","47983","867","411","1687","838"
"38",43,"91","1125","59314","1005","492","1637","1076"
"39",45,"60","1036","62530","1085","547","1512","801"
"40",47,"68","786","55067","1029","406","1470","982"
"41",49,"63","719","51598","778","340","1194","876"
"42",50,"74","857","60920","1120","513","1457","1056"
"43",52,"70","899","62539","1016","426","1792","1129"
"44",53,"80","821","58262","635","418","1853","1033"
"45",55,"75","855","63608","1150","388","1769","1153"
"46",57,"38","743","55806","687","401","1303","924"
"47",59,"68","1230","81674","1191","495","6643","1476"
"48",60,"47","652","51415","876","327","1607","1018"
"49",61,"47","1402","96273","832","654","2406","1564"
"50",63,"64","698","68640","761","393","1758","1476"
"51",64,"54","736","75803","621","341","2300","1785"
"52",65,"34","582","63823","603","308","1438","1426"
"53",67,"40","537","67707","528","265","1420","1336"
"54",68,"40","433","93295","624","213","1236","1515"
"55",70,"104","1348","100684","822","1361","1739","1592"
"56",73,"56","884","66983","616","411","1587","1167"
"57",75,"117","1442","103191","855","1118","2171","1500"
"58",78,"44","949","71247","630","611","1914","1176"
"59",80,"50","841","75814","1018","354","1499","1204"
"60",83,"57","653","78483","644","489","1646","1245"
"61",85,"80","967","79029","567","405","1528","1281"
"62",88,"27","580","77837","807","239","1478","1253"
"63",90,"176","1717","117047","863","1623","2295","1739"
"64",91,"28","692","74916","631","362","1326","1169"
"65",93,"117","1003","81781","576","828","1427","1172"
"66",95,"69","663.5","83059.5","589.5","323.5","1620.5","1456"
"67",97,"74","775.5","78788.5","726","531.5","1583","1286"
"68",98,"63.5","750","73302.5","698.5","378","1586.5","1315.5"
"69",101,"96","991.5","93043.5","1165.5","486.5","2040.5","1626.5"
"70",103,"76.5","788","75624.5","655.5","358","1704.5","1464"
"71",105,"80","1070.5","74061.5","1068.5","555.5","1918.5","1300"
"72",107,"83","1233.5","83204.5","937","599.5","1935","1342"
"73",108,"126.5","1359.5","94751","935.5","796","1909","1384"
"74",110,"75.5","820","75247","682.5","330","1556","1241.5"
"75",111,"72","698.5","70459","995","401.5","1668.5","1142"
"76",114,"61.5","834","62133","715","346","1506.5","1112.5"
"77",115,"273.5","2425.5","116066.5","1406","1281","2496.5","1470.5"
"78",118,"184.25","1810.75","87988.25","1262.5","1138.25","1875","1125.5"
"79",120,"165","1364.5","88000.5","1193.5","1041","1913.5","1322"
"80",121,"30.5","811.5","63930","1004","320","1537.5","1112.5"
"81",123,"63","503","34595","546.5","210.5","1168","567.5"
"82",125,"68","1244","75694","1089.5","701","12648","1703"
"83",128,"81.5","1037.5","77181.5","1125.5","566.5","2229","1306"
"84",131,"64.5","846.5","79562","948.5","544","2551.5","1350.5"
"85",133,"92","996","68807.5","972","443.5","1955","1126"
"86",135,"77.5","614","92028","664.5","344.5","1697","1740.5"
"87",137,"63","731.5","84219","708.5","466","1597","1303.5"
"88",138,"89.5","834.5","83159","616.5","549","1681.5","1341.5"
"89",140,"87.5","832","87813","1142.5","545.5","1875.5","1155"
"90",141,"140.5","1590","107155","778","1628.5","2029.5","1480.5"
"91",143,"372.5","2282","132580","1186.5","2919.5","2080.5","1888.5"
"92",145,"62","784","77247","727.5","360","1743","1233"
"93",147,"182.5","1828.5","102078.5","1138.5","1155.5","2102.5","1278"
"94",150,"80","952.5","86405.5","702","534.5","1913","1222.5"
"95",153,"98.5","953.5","76592","1634","427","2182.5","1304"
"96",155,"103","967.5","87345.5","812.5","566","1819.5","1316"
"97",157,"93.5","926.5","76512.5","1034","602.5","1972","1206.5"
"98",158,"137.5","1205","98561","1017","979","2167.5","1392"
"99",160,"87","817","72518","690","464.5","2001","1098.5"
"100",162,"119","1024","91058.5","628.5","1024.5","1681.5","1185.5"
"101",163,"129.5","1158","91885.5","955.5","812.5","2082","1251.5"
"102",165,"159.5","1101.5","80186","1184","734","2410.5","1180.5"
"103",167,"158","1150.5","77992","1120","758","2181","1253.5"
"104",169,"172.5","1651","101110","1057.5","1402","2338.5","1543.5"
"105",170,"112.5","953.5","76885","1174","620.5","2241","1177.5"
"106",173,"150","1672.5","103482","997.5","1516.5","2166","1328.5"
"107",175,"88.5","919.5","68606.5","881.5","516.5","1833.5","992"
